price,currency,bedrooms,bathrooms,parkingSpots,propertySize,neighborhood,lat,lon
150000,USD,4,2,3,130,"Las Americas, Tijuana",32.500975,-116.8964575
774900,USD,3,3,2,550,"Hacienda Agua Caliente, Tijuana",32.488683,-116.9992226
3000000,MN,3,2,2,107,"Lomas de La Presa, Tijuana",32.4487863,-116.924895
385000,USD,4,3,3,350,"Xicotencatl Leyva, Tijuana",32.5383628,-116.9315193
70000,USD,2,1,1,80,"Vaim, Tijuana",32.493642,-116.9421914
528000,USD,4,2,2,398,"Playas de Tijuana, Tijuana",32.5112896,-117.091176
4200000,MN,3,2,2,150,"Roma, Tijuana",32.5319413,-117.0378961
900000,MN,2,1,1,142,"Real de San Francisco, Tijuana",32.4860003,-116.8542229
2550000,MN,3,2,2,140,"Lomas de La Presa, Tijuana",32.4487863,-116.924895
2250000,MN,3,2,2,103,"Santa Fe, Tijuana",32.4945858,-116.962982
7999999,MN,4,3,2,309,"Seccion Campestre, Tijuana",32.418844,-117.0930146
2700000,MN,3,2,2,80,"Guaycura, Tijuana",32.4920969,-116.9190065
295000,USD,3,2,5,355,"Lomas Hipodromo, Tijuana",32.495283,-116.9933362
310000,USD,3,2,3,300,"Jardines del Sol, Tijuana",32.5048871,-116.9642498
285000,USD,4,3,2,317,"San Antonio del Mar, Tijuana",32.4330555,-117.0994444
450000,USD,2,2,2,450,"Soler, Tijuana",32.5320611,-117.0749951
10000000,MN,3,2,3,268,"Villa Mar, Tijuana",32.5176098,-117.1021459
3963000,MN,4,3,1,168,"Francisco Zarco, Tijuana",32.5039732,-117.0590073
240000,USD,3,2,4,161,"Puente La Joya, Tijuana",32.4973361,-117.1216955
,,4,2,4,205,"El Pipila, Tijuana",32.5006,-116.8763104
155000,USD,3,2,2,110,"Rio Tijuana, Tijuana",32.5287504,-117.0195443
985000,USD,4,4,2,818,"Lomas de Agua Caliente, Tijuana",32.4994078,-116.9896572
243000,USD,3,2,3,200,"INDECO Universidad, Tijuana",32.5261929,-116.9786196
2150000,MN,3,1,2,109,"Francisco Zarco, Tijuana",32.5039732,-117.0590073
5600000,MN,3,3,2,75,"Los Olivos, Tijuana",32.4920313,-116.990393
3495000,MN,3,2,2,60,"Huerta, Tijuana",32.535643,-116.9775583
2053000,MN,3,2,2,120,"Colinas de la Presa, Tijuana",32.4440696,-116.9197426
290000,USD,4,2,2,200,"Jardin Dorado, Tijuana",32.5198415,-116.8895619
490000,USD,3,4,6,340,"Real del Mar, Tijuana",32.4517246,-117.0882341
320000,USD,4,3,3,377,"Baja Malibu, Tijuana",32.417678,-117.095221
9520000,MN,6,4,8,690,"Ampliacion Guaycura, Tijuana",32.505205,-116.9190065
4999500,MN,3,2,2,122,"Las Huertas, Tijuana",32.484118,-116.9524808
5500000,MN,3,2,2,167,"Chapultepec, Tijuana",32.505132,-117.0102592
330000,USD,3,2,3,92,"Gabilondo, Tijuana",32.5153663,-117.0198237
3140000,MN,3,2,2,151,"Francisco Zarco, Tijuana",32.5039732,-117.0590073
445000,USD,4,5,4,170,"Juarez, Tijuana",32.5154088,-117.0338018
655000,MN,2,1,1,70,"Parajes del Valle, Tijuana",32.5135735,-116.7452251
3490000,MN,3,2,2,100,"El Lago, Tijuana",32.508223,-116.9315193
